32
1502	1035	1856	1609	1704	1516	1488	1445	1962	1573	1395	1189	1481	2045	1123	1110	1150	1315	1180	1719	0	1359	1777	1942	1285	1564	2027	1585	1838	1568	1106	1996	
1415	1643	1928	1342	1448	2041	1259	1533	1255	1168	1844	1270	1675	1538	1348	2008	1397	2013	1689	1713	1359	0	1075	1480	1984	1778	1554	1591	1381	1569	1053	1082	
1941	1341	1694	1806	1662	1563	1853	1362	1898	1497	1588	1343	1156	1349	1823	1972	1892	1817	2031	1204	1777	1075	0	1039	1413	1712	1337	1969	1378	1252	1437	1057	
1098	1446	1784	1897	1462	1058	1512	1753	1540	1130	1203	1374	1069	1344	1449	1026	1177	1196	1167	1332	1942	1480	1039	0	1119	1731	1948	1624	1394	1120	1407	1978	
1539	1792	1876	1065	1607	1420	1339	2007	1070	1038	1132	1151	1483	1672	1646	1191	1184	1519	1744	1238	1285	1984	1413	1119	0	1155	1345	2014	2010	1328	1650	1834	
1264	1236	2009	1890	1095	1325	1183	1791	1767	1250	1088	1600	1998	1985	1084	1208	1230	1788	1657	1214	1564	1778	1712	1731	1155	0	1295	1855	1982	1405	1787	1465	
1468	2036	1176	1763	1501	1261	1297	1765	1990	1046	1926	2017	1382	1503	1873	1789	1933	1659	1096	1223	2027	1554	1337	1948	1345	1295	0	1938	1104	1321	1371	1231	
1558	1153	1030	1634	1302	1963	1244	1812	1218	1761	1500	1691	1526	1900	1567	1496	1147	1798	1484	1752	1585	1591	1969	1624	2014	1855	1938	0	1447	1109	1959	1509	
1135	1964	1316	1434	1128	1249	1490	1380	1534	1165	1139	1863	1423	1442	1294	1024	1601	1981	1921	1435	1838	1381	1378	1394	2010	1982	1104	1447	0	1178	1037	1329	
1590	1260	2018	1357	2005	1973	2015	1653	1904	1185	1076	1272	1685	1693	1296	1050	1826	1923	1256	1117	1568	1569	1252	1120	1328	1405	1321	1109	1178	0	1388	1452	
1067	1146	1954	1160	1986	2020	1629	1766	1583	1277	1665	1206	1577	2048	1136	1537	1365	1916	1621	1553	1106	1053	1437	1407	1650	1787	1371	1959	1037	1388	0	1439	
1631	1741	1683	1733	1633	1936	1433	1262	1728	1318	1779	1073	1457	1355	1929	1992	1551	1804	1636	1399	1996	1082	1057	1978	1834	1465	1231	1509	1329	1452	1439	0	
